NUM,STATION,NAME,X[m],sig_X[m],Y[m],sig_Y[m],Z[m],sig_Z[m],START,END,ID-SNX
1218,TUCU,41520S001,2386117.20218,0.0006,-5171223.30123,0.00093,-2862949.0069,0.00064,2010-02-28,2015-09-15,A3
1219,TUCU,41520S001,2386117.1979,0.00057,-5171223.301,0.00101,-2862949.00982,0.00066,2015-09-17,2022-04-30,A4
1220,TUMA,41929S001,1245830.12715,0.00022,-6252040.18762,0.00062,201464.23087,0.00017,2006-11-03,2017-10-30,A1
1221,TUMA,41929S001,1245830.13316,0.00077,-6252040.18131,0.00155,201464.23792,0.00062,2018-04-25,2022-04-30,A2
1222,TUNA,41930S001,1818373.17009,0.00023,-6085596.89735,0.00048,610965.11697,0.00017,2005-10-18,2011-11-17,A1
1223,TUNA,41930S001,1818373.16637,0.00061,-6085596.88801,0.00106,610965.11885,0.00047,2012-10-18,2016-04-07,A2
1224,TUNA,41930S001,1818373.16694,0.00127,-6085596.88271,0.00149,610965.11105,0.00124,2016-04-09,2016-09-21,A3
1225,TUNA,41930S001,1818373.16769,0.00039,-6085596.88403,0.00086,610965.11167,0.00027,2016-09-23,2022-04-30,A4
1226,UBA1,41627M002,4129567.79531,0.00103,-4146743.08226,0.00103,-2527616.37997,0.00093,2010-04-07,2011-04-30,A1
1227,UBA1,41627M002,4129567.76161,0.00158,-4146743.05373,0.00155,-2527616.34069,0.0013,2012-02-13,2012-04-19,A2
1228,UBA1,41627M002,4129567.79632,0.00119,-4146743.07612,0.00118,-2527616.36295,0.00106,2012-08-09,2014-11-27,A3
1229,UBA1,41627M002,4129567.80386,0.00106,-4146743.06712,0.00103,-2527616.34978,0.00075,2014-11-28,2021-11-23,A4
1230,UBA1,41627M002,4129567.79309,0.00199,-4146743.06958,0.00196,-2527616.3655,0.00184,2021-11-24,2022-04-30,A5
1231,UBAT,41627M001,4129567.69073,0.0007,-4146743.03271,0.00071,-2527616.31727,0.00062,2006-01-01,2008-04-05,A1
1232,UBAT,41627M001,4129567.72241,0.00089,-4146743.00927,0.00089,-2527616.31554,0.00079,2008-04-06,2009-09-08,A2
1233,UBE1,41625M001,4014997.18101,0.00054,-4509022.47938,0.00057,-2052040.48493,0.00031,2014-03-25,2022-04-24,A1
1234,UBER,41625M001,4014997.23374,0.00027,-4509022.51435,0.00029,-2052040.54647,0.00017,2004-07-13,2013-10-20,A1
1235,UC01,42254M001,1683126.49536,0.0004,-6082009.37517,0.0011,-923828.5376,0.00028,2012-02-06,2019-05-25,A1
1236,UC01,42254M001,1683126.49294,0.0012,-6082009.37554,0.00196,-923828.527,0.0009,2019-05-27,2022-04-30,A2
1237,UCOR,41502M001,2371430.08413,0.00104,-4904120.04262,0.00175,-3307377.36753,0.00122,2004-04-04,2005-10-10,A1
1238,UCOR,41502M001,2371430.08545,0.00113,-4904120.04329,0.0019,-3307377.36421,0.00135,2005-10-11,2005-11-18,A2
1239,UCOR,41502M001,2371430.10039,0.00109,-4904120.04428,0.00183,-3307377.37051,0.0013,2005-11-19,2006-04-10,A3
1240,UCOR,41502M001,2371430.08262,0.00115,-4904120.03808,0.00202,-3307377.37014,0.00138,2006-04-11,2008-11-14,A4
1241,UCOR,41502M001,2371430.08523,0.00153,-4904120.04407,0.00258,-3307377.35914,0.00181,2008-11-15,2010-02-26,A5
1242,UCOR,41502M001,2371430.03063,0.00059,-4904120.03224,0.00104,-3307377.36521,0.00071,2010-02-28,2015-09-15,A6
1243,UCOR,41502M001,2371430.02058,0.00117,-4904120.03856,0.00155,-3307377.35196,0.00133,2015-12-10,2017-08-23,A7
1244,UCOR,41502M001,2371430.01918,0.00072,-4904120.04302,0.00123,-3307377.34931,0.00085,2017-08-24,2022-04-30,A8
1245,UCRI,40614M001,651221.11701,0.00933,-6250477.16765,0.03019,1093509.20346,0.00896,2015-07-12,2016-03-06,A1
1246,UCRI,40614M001,651221.11152,0.00357,-6250477.15874,0.012,1093509.20619,0.00362,2016-08-14,2017-11-12,A2
1247,UCRI,40614M001,651221.04982,0.00101,-6250477.1336,0.00285,1093509.19182,0.00099,2017-11-14,2022-04-30,A3
1248,UEPP,41611M001,3687624.3238,0.00025,-4620818.68216,0.00029,-2386880.16902,0.00018,2000-01-02,2005-12-10,A1
1249,UFPR,41610M002,3763751.68066,0.00059,-4365113.90555,0.00063,-2724404.53338,0.00053,2007-09-05,2010-02-26,A1
1250,UFPR,41610M002,3763751.67641,0.00045,-4365113.90367,0.00052,-2724404.53539,0.00034,2010-02-28,2018-04-04,A2
1251,UFPR,41610M002,3763751.67779,0.00094,-4365113.91001,0.00108,-2724404.53822,0.00076,2018-04-05,2022-04-30,A3
1252,UGTO,40528M001,-1164730.22178,0.00019,-5843944.68818,0.00051,2272414.20157,0.00025,2007-07-26,2016-05-23,A1
1253,UGTO,40528M001,-1164730.22052,0.00053,-5843944.68048,0.0012,2272414.19655,0.0006,2016-05-24,2021-06-01,A2
1254,UGTO,40528M001,-1164730.21774,0.00145,-5843944.6821,0.00183,2272414.19591,0.00154,2021-06-02,2022-04-30,A3
1255,UNPA,41550M001,1407712.92683,0.00067,-3707517.20377,0.00105,-4978623.14101,0.00119,2010-08-05,2010-11-08,A1
1256,UNPA,41550M001,1407712.95721,0.0004,-3707517.25256,0.00069,-4978623.18187,0.00083,2011-03-15,2016-01-30,A2
1257,UNPA,41550M001,1407712.94976,0.00083,-3707517.25485,0.0013,-4978623.18135,0.0015,2016-01-31,2018-08-04,A3
1258,UNPA,41550M001,1407712.9399,0.00076,-3707517.25675,0.00128,-4978623.17593,0.00154,2019-03-15,2022-04-30,A4
1259,UNRO,41525M001,2627448.21791,0.00043,-4668383.23235,0.00068,-3450213.40613,0.00051,2003-08-16,2007-05-29,A1
1260,UNRO,41525M001,2627448.22492,0.00078,-4668383.23498,0.00113,-3450213.40564,0.00087,2007-05-30,2010-02-26,A2
1261,UNRO,41525M001,2627448.17644,0.00076,-4668383.23386,0.00094,-3450213.39816,0.00084,2010-02-28,2013-04-19,A3
1262,UNRO,41525M001,2627448.18133,0.00082,-4668383.23649,0.00104,-3450213.40403,0.00091,2013-04-20,2015-09-15,A4
1263,UNRO,41525M001,2627448.17932,0.00055,-4668383.23786,0.00081,-3450213.40595,0.00059,2015-09-17,2022-04-30,A5
1264,UNSA,41514M001,2412830.48406,0.00018,-5271936.73129,0.00032,-2652208.91358,0.00019,2000-01-02,2001-01-04,A1
1265,UNSA,41514M001,2412830.486,0.00029,-5271936.73301,0.00054,-2652208.91606,0.00032,2001-07-12,2008-07-23,A2
1266,UNSA,41514M001,2412830.4789,0.00075,-5271936.75003,0.0011,-2652208.91606,0.00082,2008-07-24,2010-02-26,A3
1267,UNSA,41514M001,2412830.46173,0.0008,-5271936.76574,0.00166,-2652208.92294,0.00096,2010-02-28,2015-04-29,A4
1268,UNSA,41514M001,2412830.45255,0.00148,-5271936.77228,0.00243,-2652208.92904,0.00168,2015-04-30,2015-09-15,A5
1269,UNSA,41514M001,2412830.44297,0.00144,-5271936.77282,0.00275,-2652208.93197,0.00164,2015-09-17,2020-02-16,A6
1270,UNSA,41514M001,2412830.44061,0.00188,-5271936.76403,0.00338,-2652208.92594,0.00214,2020-02-17,2022-04-30,A7
1271,UNSJ,41527M001,1987485.10604,0.00049,-5065493.36242,0.00083,-3317557.39266,0.00063,2007-03-06,2010-02-26,A1
1272,UNSJ,41527M001,1987485.07212,0.00052,-5065493.36523,0.00102,-3317557.40727,0.00073,2010-02-28,2015-09-15,A2
