NUM,STATION,NAME,VX[m/a],sig_VX[m/a],VY[m/a],sig_Y[m],VZ[m/a],sig_VZ[m/a],START,END,ID-SNX
265,CPVG,39601M001,0.00187,0.00023,0.0202,0.00012,0.01536,9e-05,2013-10-24,2022-04-30,A1
266,CRAT,41619M001,-0.00267,0.00042,-0.00326,0.00037,0.01296,0.00021,2001-01-01,2007-05-10,A1
267,CRAT,41619M001,-0.00268,0.00056,-0.00325,0.00054,0.01296,0.00052,2007-05-11,2008-01-26,A2
268,CRAT,41619M001,-0.00268,0.00051,-0.00325,0.00046,0.01292,0.00036,2008-03-07,2010-12-28,A3
269,CRAT,41619M001,-0.00267,0.00023,-0.00325,0.00018,0.01294,7e-05,2011-12-09,2022-04-30,A4
270,CRCS,42401M001,-0.00143,0.00021,0.00288,0.00046,0.01193,0.00013,2006-05-21,2014-07-26,A1
271,CRLP,40612M003,0.01291,0.00065,0.00314,0.00211,0.01701,0.00064,2015-08-22,2017-11-12,A1
272,CRLP,40612M003,0.01289,0.00053,0.00413,0.00104,0.01863,0.00052,2017-11-14,2020-12-15,A2
273,CRLP,40612M003,0.01289,0.00051,0.00413,0.00103,0.01863,0.00049,2021-01-05,2022-04-30,A3
274,CRO1,43201M001,0.00645,0.0006,0.00994,0.00074,0.01261,0.00058,2000-01-02,2000-04-09,A1
275,CRO1,43201M001,0.00646,0.0006,0.00995,0.00074,0.01262,0.00058,2000-04-11,2000-11-13,A2
276,CRO1,43201M001,0.00645,0.0006,0.00994,0.00074,0.01263,0.00058,2000-11-14,2001-04-25,A3
277,CRO1,43201M001,0.00645,0.00042,0.00995,0.00065,0.01263,0.00034,2001-04-26,2006-02-21,A4
278,CRO1,43201M001,0.00646,0.0004,0.00994,0.00062,0.01264,0.00033,2006-02-22,2010-05-22,A5
279,CRO1,43201M001,0.00646,0.00033,0.00994,0.00053,0.01262,0.00026,2010-05-24,2015-09-24,A6
280,CRO1,43201M001,0.00646,0.00052,0.00995,0.0007,0.01264,0.00047,2015-09-25,2018-03-01,A7
281,CRO1,43201M001,0.00645,0.00042,0.00994,0.00063,0.01264,0.0003,2018-03-02,2022-04-30,A8
282,CRUZ,41641M001,-0.00252,9e-05,-0.00109,0.00018,0.01166,6e-05,2007-09-05,2022-04-30,A1
283,CS01,42235M001,0.00213,0.00056,0.0025,0.00112,0.01248,0.00038,2018-07-23,2022-04-30,A1
284,CSLO,41540M001,0.01506,0.00043,-0.00292,0.00088,0.0121,0.00061,2005-10-15,2010-02-26,A1
285,CSLO,41540M001,0.01471,0.00027,-0.00542,0.00055,0.01144,0.0004,2010-02-28,2015-09-15,A2
286,CSLO,41540M001,0.00738,0.00036,-0.00899,0.00072,0.0119,0.0005,2015-09-17,2021-01-18,A3
287,CSLO,41540M001,0.00738,0.00056,-0.00898,0.00087,0.01193,0.00068,2021-01-20,2022-04-30,A4
288,CUCU,41904S001,0.00234,0.00015,0.0036,0.00032,0.01458,0.00011,2004-02-13,2012-05-07,A1
289,CUCU,41904S001,0.00234,9e-05,0.00361,0.00021,0.0146,7e-05,2012-05-08,2022-04-30,A2
290,CUEC,42009M001,0.00015,0.00025,-0.00113,0.00063,0.00836,0.00018,2008-10-29,2013-06-05,A1
291,CUEC,42009M001,0.00015,0.00057,-0.00113,0.00081,0.00837,0.00054,2013-06-06,2014-02-19,A2
292,CUEC,42009M001,0.00015,0.00057,-0.00113,0.00081,0.00837,0.00055,2014-02-20,2014-06-11,A3
293,CUEC,42009M001,0.00015,0.00049,-0.00114,0.00079,0.00836,0.00044,2014-06-12,2016-04-15,A4
294,CUEC,42009M001,0.00015,0.00037,-0.00114,0.00075,0.00836,0.00032,2016-04-17,2019-02-21,A5
295,CUEC,42009M001,0.00015,0.00032,-0.00114,0.00071,0.00837,0.00026,2019-06-16,2022-04-30,A6
296,CUIB,41603M001,-0.00051,0.00028,-0.00468,0.00036,0.0118,0.00018,2000-01-05,2007-03-29,A1
297,CUIB,41603M001,-0.00051,0.00029,-0.00468,0.00038,0.01189,0.00017,2007-03-30,2012-11-22,A2
298,CUIB,41603M001,-0.00051,0.0005,-0.00467,0.00057,0.01188,0.00043,2012-11-23,2014-11-14,A3
299,CUIB,41603M001,-0.00051,0.00024,-0.00467,0.00033,0.01185,0.00015,2014-11-15,2020-02-13,A4
300,CUIB,41603M001,-0.00051,0.00042,-0.00468,0.00052,0.01186,0.00033,2020-02-14,2022-04-30,A5
301,CULC,40529M001,-0.0103,0.00013,0.00141,0.0003,-0.00572,0.00016,2007-10-04,2016-05-16,A1
302,CULC,40529M001,-0.0103,0.00022,0.00142,0.00043,-0.00572,0.00026,2016-05-17,2021-05-31,A2
303,CULC,40529M001,-0.01035,0.00048,0.00141,0.00058,-0.00573,0.00053,2021-06-01,2022-04-30,A3
304,CULI,40523M001,-0.01032,0.00037,0.00142,0.00055,-0.00572,0.00041,2005-01-09,2007-07-13,A1
305,CUM3,42404M001,8e-05,0.00133,3e-05,0.0023,0.01511,0.00083,2011-06-19,2014-07-26,A1
306,CXEC,42038M001,0.00312,0.00064,0.0012,0.00186,0.01077,0.00046,2013-12-06,2016-04-15,A1
307,CXEC,42038M001,-0.00024,0.00032,0.00127,0.00089,0.01194,0.00022,2016-04-17,2022-04-30,A2
